adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category
0000002488-25-000012,2488,ADVANCED MICRO DEVICES INC,US,CA,SANTA CLARA,2025-02-05 16:43:00.0,10-K,20241231.0,2024.0,FY,2055000000.0,4323000000.0,3082000000.0,59676000000.0,2800000000.0,3565000000.0,1320000000.0,,1081000000.0,11069000000.0,67885000000.0,0.1192519649471497,0.019444649038815643,0.020051648184718215,2.103649635036496,5.132893666997922,,,True,High Risk
0000002969-25-000013,2969,"AIR PRODUCTS & CHEMICALS, INC.",US,PA,ALLENTOWN,2025-02-06 12:04:00.0,10-Q,20241231.0,2025.0,Q1,,1821600000.0,,1253200000.0,,626600000.0,609300000.0,2997400000.0,13600000.0,17036500000.0,39574600000.0,0.03576438822528102,0.015396239001783973,,,1.3229301793208699,0.20327617268299192,0.07574050021983798,True,High Risk
0000003499-25-000004,3499,ALEXANDERS INC,US,NJ,PARAMUS,2025-02-10 08:32:00.0,10-K,20241231.0,2024.0,FY,,,,,,102549000.0,57632000.0,205814000.0,,252589000.0,1403680000.0,0.2281651219966032,0.04105779094950416,,,4.5571699480183225,0.2800198237243336,0.14662458680041035,True,High Risk
0000003545-25-000030,3545,"ALICO, INC.",US,FL,"FT. MYERS,",2025-02-12 16:09:00.0,10-Q,20241231.0,2025.0,Q1,3362000.0,771000.0,5366000.0,20184000.0,,-13169000.0,42945000.0,10875000.0,138000.0,251159000.0,398719000.0,0.17098730286392286,0.10770743305435658,0.10862334548269033,0.22932778108268886,0.5875162745511807,3.9489655172413793,0.027274847699758478,True,High Risk
0000003570-25-000033,3570,CHENIERE ENERGY INC,US,TX,HOUSTON,2025-02-19 17:43:00.0,10-K,20241231.0,2024.0,FY,181000000.0,525000000.0,1780000000.0,,,10523000000.0,1428000000.0,33428000000.0,205000000.0,5060000000.0,43076000000.0,0.28221343873517785,0.033150710372365125,0.0332905933092435,2.9005524861878453,7.51304347826087,0.04271867895177695,0.7760237719379701,True,High Risk
0000004127-25-000010,4127,SKYWORKS SOLUTIONS INC,US,CA,IRVINE,2025-02-05 16:33:00.0,10-Q,20241231.0,2025.0,Q1,171800000.0,,,269400000.0,48100000.0,774900000.0,231300000.0,1201500000.0,53300000.0,6082700000.0,8283300000.0,0.03802587666661186,0.027923653616312338,0.02851507119521667,,0.3617801305341378,0.19250936329588014,0.14505088551664191,True,High Risk
0000004281-25-000011,4281,HOWMET AEROSPACE INC.,US,PA,PITTSBURGH,2025-02-13 17:35:00.0,10-K,20241231.0,2024.0,FY,982000000.0,675000000.0,,,36000000.0,733000000.0,469000000.0,,,3508000000.0,2661000000.0,0.13369441277080957,0.17624953025178505,0.2793329362715902,0.6873727087576375,-0.24144811858608894,,,True,High Risk
0000004904-25-000027,4904,AMERICAN ELECTRIC POWER CO INC,US,OH,COLUMBUS,2025-02-13 10:26:00.0,10-K,20241231.0,2024.0,FY,2032500000.0,2447400000.0,,,,5288000000.0,287800000.0,19639500000.0,63300000.0,24400000.0,96684000000.0,11.795081967213115,0.0029767076248396838,0.003040627987934687,1.2041328413284134,3961.4590163934427,0.014654140889533847,0.20313081792230359,True,High Risk
0000004962-25-000016,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2025-02-07 14:10:00.0,10-K,20241231.0,2024.0,FY,,,,,51000000.0,21079000000.0,7514000000.0,,373000000.0,22177000000.0,228354000000.0,0.33881949767777425,0.03290505092969687,,,9.296884159264103,,,True,High Risk
0000004977-25-000047,4977,AFLAC INC,US,GA,COLUMBUS,2025-02-26 12:26:00.0,10-K,20241231.0,2024.0,FY,,,,2771000000.0,,3879000000.0,4418000000.0,19140000000.0,,17031000000.0,126724000000.0,0.2594093124302742,0.03486316719800511,,,6.440784451881862,0.23082549634273772,0.1510368990877813,True,High Risk
0000005272-25-000012,5272,"AMERICAN INTERNATIONAL GROUP, INC.",US,NY,NEW YORK,2025-02-13 16:50:00.0,10-K,20241231.0,2024.0,FY,682000000.0,,,75810000000.0,,4134000000.0,10227000000.0,29996000000.0,288000000.0,45351000000.0,539306000000.0,0.2255077065555335,0.01896326018994782,0.018987271269011407,,10.891821569535402,0.3409454593945859,0.055619629672208355,True,High Risk
0000005513-25-000015,5513,UNUM GROUP,US,TN,CHATTANOOGA,2025-02-27 16:26:00.0,10-K,20241231.0,2024.0,FY,,,,1547800000.0,,1418700000.0,1407200000.0,11984100000.0,52700000.0,2408100000.0,63255200000.0,0.584361114571654,0.022246392391455563,,,25.26767991362485,0.11742225114943967,0.18945636089997345,True,High Risk
0000006201-25-000010,6201,AMERICAN AIRLINES GROUP INC.,US,TX,FORT WORTH,2025-02-19 16:36:00.0,10-K,20241231.0,2024.0,FY,2353000000.0,2026000000.0,,7374000000.0,,2173000000.0,127000000.0,,78000000.0,-7340000000.0,63058000000.0,-0.017302452316076293,0.002014018839798281,0.0020920846717733302,0.8610284742881428,-9.591008174386921,,,True,High Risk
0000006281-25-000023,6281,ANALOG DEVICES INC,US,MA,WILMINGTON,2025-02-19 07:15:00.0,10-Q,20250131.0,2025.0,Q1,487457000.0,1336331000.0,1106070000.0,25082243000.0,440903000.0,1138832000.0,462727000.0,,,25313914000.0,48228277000.0,0.018279551712153244,0.009594516511547779,0.009692481193243015,2.7414336033742464,0.9052082186895317,,,True,High Risk
0000006951-25-000011,6951,APPLIED MATERIALS INC /DE,US,CA,SANTA CLARA,2025-02-20 16:03:00.0,10-Q,20250131.0,2025.0,Q1,1570000000.0,5234000000.0,,9660000000.0,,2325000000.0,2019000000.0,,170000000.0,16349000000.0,34409000000.0,0.12349379166921524,0.058676509052864076,0.06148177471908402,3.3337579617834394,1.1046547189430547,,,True,High Risk
0000007084-25-000011,7084,ARCHER-DANIELS-MIDLAND CO,US,IL,CHICAGO,2025-02-20 16:02:00.0,10-K,20241231.0,2024.0,FY,6313000000.0,4232000000.0,1045000000.0,,235000000.0,3478000000.0,4340000000.0,101556000000.0,147000000.0,,54631000000.0,,0.07944207501235562,0.0898215985761,0.6703627435450658,,0.042735042735042736,1.8589445552891215,True,High Risk
0000007789-25-000013,7789,ASSOCIATED BANC-CORP,US,WI,GREEN BAY,2025-02-12 16:17:00.0,10-K,20241231.0,2024.0,FY,,,,1714822000.0,8811000.0,846566000.0,366122000.0,380475000.0,16000000.0,4024853000.0,12073694000.0,0.09096530978895379,0.030323942283115673,,,1.9997850853186439,0.9622761022406203,0.03151272510302149,True,High Risk
0000008818-25-000003,8818,AVERY DENNISON CORP,US,OH,MENTOR,2025-02-26 13:37:00.0,10-K,20241231.0,2024.0,FY,1277100000.0,1414900000.0,,854500000.0,81800000.0,961000000.0,757100000.0,,47400000.0,1924400000.0,8209800000.0,0.3934213261276242,0.09221905527540257,0.10920709103235392,1.1079007125518754,3.266160881313656,,,True,High Risk
0000010048-25-000009,10048,BARNWELL INDUSTRIES INC,US,HI,HONOLULU,2025-02-14 16:06:00.0,10-Q,20241231.0,2025.0,Q1,1822000.0,2931000.0,,7690000.0,,1375000.0,-664000.0,6155000.0,30000.0,13040000.0,30669000.0,-0.050920245398773004,-0.021650526590368126,-0.023017991472250147,1.6086717892425906,1.3519171779141104,-0.10787977254264826,0.20069125175258404,True,High Risk
0000010795-25-000022,10795,BECTON DICKINSON & CO,US,NJ,FRANKLIN LAKES,2025-02-06 17:04:00.0,10-Q,20241231.0,2025.0,Q1,,3033000000.0,,19893000000.0,365000000.0,,281000000.0,4706000000.0,,19720000000.0,57286000000.0,0.014249492900608519,0.004905212442830709,,,1.9049695740365111,0.05971100722481938,0.08214921621338547,True,High Risk
0000011544-25-000005,11544,BERKLEY W R CORP,US,CT,GREENWICH,2025-02-24 16:19:00.0,10-K,20241231.0,2024.0,FY,,,,964789000.0,,2568604000.0,1381062000.0,11166499000.0,,7455431000.0,37202015000.0,0.18524240919136667,0.03712331173459287,,,3.9899214411614836,0.12367905106157266,0.30015844571859884,True,High Risk
0000012208-25-000007,12208,"BIO-RAD LABORATORIES, INC.",US,CA,HERCULES,2025-02-14 16:31:00.0,10-K,20241231.0,2024.0,FY,144600000.0,489000000.0,,,24900000.0,194400000.0,-3627500000.0,,60900000.0,13685200000.0,448800000.0,-0.26506737205155934,-8.082664884135472,-11.924720578566733,3.3817427385892116,-0.9672054482214363,,,True,High Risk
0000012927-25-000015,12927,BOEING CO,US,VA,ARLINGTON,2025-02-03 14:38:00.0,10-K,20241231.0,2024.0,FY,11964000000.0,2649000000.0,22331000000.0,,235000000.0,3512000000.0,-4935000000.0,66608000000.0,726000000.0,-17233000000.0,137012000000.0,0.2863691754192538,-0.03601874288383499,-0.03946484549932826,0.22141424272818455,-8.950559972146463,-0.0740901993754504,0.48614719878550783,True,High Risk
