adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category,Ticker,AvgPrice_2023,AvgPrice_2024,Performance
0000002969-24-000010,2969,"AIR PRODUCTS & CHEMICALS, INC.",US,PA,ALLENTOWN,2024-02-05 15:01:00.0,10-Q,20231231.0,2024.0,Q1,,14600000.0,,1190500000.0,,626600000.0,609300000.0,0.0,13600000.0,14312900000.0,2256800000.0,0.0425699893103424,0.2699840482098546,,,-0.8423240573189221,,0.0,True,High Risk,APD,286.19975999999997,271.9280158730159,High Risk
0000003499-24-000007,3499,ALEXANDERS INC,US,NJ,PARAMUS,2024-02-12 08:21:00.0,10-K,20231231.0,2023.0,FY,,,,,,102549000.0,102413000.0,205814000.0,,25586000.0,1403680000.0,4.002696787305558,0.072960361335917,,,53.86125224732275,0.4975997745537233,0.1466245868004103,True,High Risk,ALX,193.51148,221.58813492063493,Low Risk
0000003545-24-000034,3545,"ALICO, INC.",US,FL,"FT. MYERS,",2024-02-07 16:54:00.0,10-Q,20231231.0,2024.0,Q1,7041000.0,7134000.0,3633000.0,20045000.0,,-9665000.0,-3150000.0,10875000.0,18000.0,287749000.0,415030000.0,-0.0109470406500109,-0.0075898127846179,-0.0077207963940204,1.013208351086493,0.4423334225314423,-0.2896551724137931,0.0262029250897525,True,High Risk,ALCO,25.4,27.341547619047617,Low Risk
0000003570-24-000040,3570,CHENIERE ENERGY INC,US,TX,HOUSTON,2024-02-21 17:35:00.0,10-K,20231231.0,2023.0,FY,124000000.0,917000000.0,1780000000.0,,,10523000000.0,9881000000.0,2109000000.0,205000000.0,-2969000000.0,18905000000.0,-3.3280565847086563,0.5226659613858767,0.5261168201906182,7.395161290322581,-7.367463792522735,4.68515884305358,0.1115577889447236,True,High Risk,LNG,158.11696000000003,175.95559523809524,Low Risk
0000004281-24-000007,4281,HOWMET AEROSPACE INC.,US,PA,PITTSBURGH,2024-02-13 17:05:00.0,10-K,20231231.0,2023.0,FY,982000000.0,506000000.0,,,36000000.0,449000000.0,258000000.0,,,-1841000000.0,4784000000.0,-0.140141227593699,0.0539297658862876,0.067859021567596,0.515274949083503,-3.5985877240630093,,,True,High Risk,HWM,45.91536,84.5129365079365,Low Risk
0000004904-24-000020,4904,AMERICAN ELECTRIC POWER CO INC,US,OH,COLUMBUS,2024-02-26 16:44:00.0,10-K,20231231.0,2023.0,FY,56700000.0,278500000.0,,,,575600000.0,,6100000.0,50900000.0,25246700000.0,4520100000.0,,,,4.911816578483245,-0.8209627396847905,,0.0013495276653171,True,High Risk,AEP,84.65639999999999,90.91150793650793,Low Risk
0000004962-24-000013,4962,AMERICAN EXPRESS CO,US,NY,NEW YORK,2024-02-09 14:08:00.0,10-K,20231231.0,2023.0,FY,,,,,57000000.0,21079000000.0,8374000000.0,,326000000.0,28057000000.0,19000000000.0,0.2984638414655879,0.4407368421052631,,,-0.322807142602559,,,True,High Risk,AXP,162.93812,244.29567460317458,Low Risk
0000004977-24-000053,4977,AFLAC INC,US,GA,COLUMBUS,2024-02-22 14:34:00.0,10-K,20231231.0,2023.0,FY,,,,2771000000.0,,2354000000.0,-9000000.0,279000000.0,,33559000000.0,28551000000.0,-0.0002681843916684,-0.000315225386151,,,-0.1492297148305968,-0.032258064516129,0.009771986970684,True,High Risk,AFL,72.58967999999999,94.84190476190474,Low Risk
0000005272-24-000023,5272,"AMERICAN INTERNATIONAL GROUP, INC.",US,NY,NEW YORK,2024-02-14 15:48:00.0,10-K,20231231.0,2023.0,FY,703000000.0,,,79915000000.0,,191000000.0,-1212000000.0,37324000000.0,288000000.0,40970000000.0,9125000000.0,-0.0295826214303148,-0.1328219178082191,-0.1439088102588459,,-0.777276055650476,-0.0324724038152395,4.090301369863013,True,High Risk,AIG,58.9022,74.41126984126984,Low Risk
0000005513-24-000015,5513,UNUM GROUP,US,TN,CHATTANOOGA,2024-02-20 16:50:00.0,10-K,20231231.0,2023.0,FY,,,,1547800000.0,,1548000000.0,1314200000.0,12007800000.0,52700000.0,2408100000.0,4218000000.0,0.5457414559196047,0.3115694642010431,,,0.7515883891864956,0.1094455270740685,2.8467994310099574,True,High Risk,UNM,44.85812,56.0365873015873,Low Risk
0000006201-24-000010,6201,AMERICAN AIRLINES GROUP INC.,US,TX,FORT WORTH,2024-02-21 08:00:00.0,10-K,20231231.0,2023.0,FY,2149000000.0,2026000000.0,,17335000000.0,41000000.0,3706000000.0,338000000.0,,95000000.0,-5202000000.0,64716000000.0,-0.0649750096116878,0.0052228197045552,0.0054022088321319,0.9427640763145648,-13.440599769319492,,,True,High Risk,AAL,14.577960000000001,13.134325396825398,High Risk
0000006281-24-000034,6281,ANALOG DEVICES INC,US,MA,WILMINGTON,2024-02-21 07:11:00.0,10-Q,20240131.0,2024.0,Q1,493041000.0,1469734000.0,1352608000.0,25253256000.0,502177000.0,1406305000.0,-370000.0,,,82653000.0,48388464000.0,-0.0044765465258369,-7.646450608558272e-06,-7.725164051688195e-06,2.980956958954732,584.4411092156364,,,True,High Risk,ADI,181.85824,213.25019841269838,Low Risk
0000006951-24-000012,6951,APPLIED MATERIALS INC /DE,US,CA,SANTA CLARA,2024-02-27 16:03:00.0,10-Q,20240131.0,2024.0,Q1,1478000000.0,4700000000.0,,9131000000.0,11000000.0,2270000000.0,2019000000.0,,170000000.0,45480000000.0,31540000000.0,0.0443931398416886,0.0640139505389981,0.0671612001862816,3.1799729364005414,-0.3065083553210202,,,True,High Risk,AMAT,132.68092000000001,196.19619047619048,Low Risk
0000007332-24-000009,7332,SOUTHWESTERN ENERGY CO,US,TX,SPRING,2024-02-22 17:12:00.0,10-K,20231231.0,2023.0,FY,1835000000.0,0.0,,7172000000.0,5000000.0,1363000000.0,-25000000.0,,4000000.0,-982000000.0,11253000000.0,0.025458248472505,-0.0022216297876121,-0.0026544913994478,0.0,-12.459266802443992,,,True,High Risk,,,,
0000007789-24-000009,7789,ASSOCIATED BANC-CORP,US,WI,GREEN BAY,2024-02-08 16:17:00.0,10-K,20231231.0,2023.0,FY,,,,1714822000.0,8844000.0,254534000.0,327271000.0,502925000.0,333000.0,-272799000.0,4734666000.0,-1.1996781513128714,0.0691222992287101,,,-18.355877404242683,0.6507351990853507,0.1062218538752258,True,High Risk,ASB,18.48676,22.05527777777778,Low Risk
